date,price
2000-01-01,151.0827129198888
2000-01-02,151.65965424269265
2000-01-03,147.85171352462118
2000-01-04,152.93789538504382
2000-01-05,152.47311851010045
2000-01-06,152.2456900325811
2000-01-07,152.49490804882214
2000-01-08,157.79068031589
2000-01-09,157.78841747751437
2000-01-10,154.05134696053122
2000-01-11,156.3619811656147
2000-01-12,159.3417826065884
2000-01-13,154.15828805736203
2000-01-14,152.1516754185374
2000-01-15,167.00900384995066
2000-01-16,149.95617276507645
2000-01-17,154.9074008497494
2000-01-18,156.664526035935
2000-01-19,158.4620721349822
2000-01-20,166.60507136474834
2000-01-21,160.74649719514835
2000-01-22,158.0531009845961
2000-01-23,167.39987849871713
2000-01-24,158.4321027954947
2000-01-25,156.47650808512452
2000-01-26,161.08881388431166
2000-01-27,158.43719384000548
2000-01-28,162.66165142999455
2000-01-29,157.53234280996458
2000-01-30,161.73212041372147
2000-01-31,159.56356501385636
2000-02-01,163.48155318415868
2000-02-02,166.13012609677415
2000-02-03,157.56349428926117
2000-02-04,155.42098841258797
2000-02-05,166.42811384694014
2000-02-06,156.13397081097403
2000-02-07,171.7656337509594
2000-02-08,165.1368500929867
2000-02-09,159.14465921972607
2000-02-10,162.2167309516177
2000-02-11,165.35985782187268
2000-02-12,164.15944898682494
2000-02-13,161.63894578373927
2000-02-14,161.6046287255648
2000-02-15,167.41771769293157
2000-02-16,161.6192357200339
2000-02-17,153.65238258961057
2000-02-18,175.23812287988187
2000-02-19,165.52721308189285
2000-02-20,168.1421559435796
2000-02-21,164.58379126350295
2000-02-22,161.42540978339142
2000-02-23,159.33957497084268
2000-02-24,167.6402488141938
2000-02-25,175.38452340865092
2000-02-26,170.12770564757537
2000-02-27,184.0685949706914
2000-02-28,177.21238484451965
2000-02-29,163.54467978583165
2000-03-01,169.2785771321687
2000-03-02,179.46287031222766
2000-03-03,166.50194491457592
2000-03-04,170.1817301376029
2000-03-05,170.31137671204607
2000-03-06,165.55250122739977
2000-03-07,182.00150501145575
2000-03-08,169.6344273043644
